="",="(1)",="(2)",="(3)",="(4)"
="",="Visited Post Carto",="Visits Post Carto",="Visited Other Contact",="Visits Other Contact"
="",="b/p",="b/p",="b/p",="b/p"
="Local",="-0.0560",="-0.01000",="0.00255",="0.000154"
="",="(0.104)",="(0.901)",="(0.840)",="(0.996)"
="Not very much confidence",="0.0371",="0.00880",="-0.0312",="-0.00988"
="",="(0.499)",="(0.930)",="(0.213)",="(0.840)"
="Some confidence",="-0.0200",="-0.0622",="-0.0278",="-0.0231"
="",="(0.613)",="(0.392)",="(0.122)",="(0.459)"
="A lot of confidence",="0.0377",="0.0517",="-0.0118",="-0.00832"
="",="(0.342)",="(0.557)",="(0.580)",="(0.821)"
="Month FE ",="Yes",="Yes",="Yes",="Yes"
="House FE ",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes"
="Observations",="1807",="1807",="1102",="1102"
="Clusters",="208",="208",="188",="188"
="Mean",=".477",=".65",=".036",=".064"
