,(1),(2),(3),(4),(5),(6),(7),(8)
,Visited Post Carto,Compliance,Visited Post Carto,Compliance,Visited Post Carto,Compliance,Visited Post Carto,Compliance
RECODE of willingness (Willingness),0.040**,0.038***,0.038**,0.035***,,,,
,(0.013),(0.010),(0.013),(0.010),,,,
Predicted Willingness to pay,0.014,0.034**,0.015,0.032**,-0.010,0.012,-0.019,0.025**
,(0.028),(0.011),(0.028),(0.011),(0.028),(0.009),(0.033),(0.009)
Wall quality,,,0.022,0.022**,0.011,0.016**,0.023**,0.012**
,,,(0.014),(0.010),(0.011),(0.007),(0.011),(0.005)
Roof quality,,,0.007,-0.000,0.006,0.001,0.018**,-0.009
,,,(0.008),(0.004),(0.008),(0.004),(0.008),(0.006)
Erosion threat,,,0.010,-0.005,-0.004,-0.011,-0.001,-0.005
,,,(0.011),(0.005),(0.012),(0.007),(0.010),(0.005)
House FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stratum FE ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Observations,2796,2799,2795,2798,4908,4922,4725,4731
Clusters,50,50,50,50,,,,
Mean,.361,.064,.361,.067,,,,
Clusters2,,,,,,,,
Mean2,,,,,,,,
