="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/se/pvalues",="b/se/pvalues",="b/se/pvalues",="b/se/pvalues",="b/se/pvalues",="b/se/pvalues",="b/se/pvalues",="b/se/pvalues"
="Ease of payment",="0.0284",="0.0711",="0.00702",="0.0522",="",="",="",=""
="",="(0.0342)",="(0.0171)",="(0.0369)",="(0.0210)",="",="",="",=""
="",="",="",="",="",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="-0.144",="0.0658",="0.0331",="0.0287"
="",="",="",="",="",="(0.0701)",="(0.0382)",="(0.0759)",="(0.0426)"
="",="",="",="",="",="",="",="",=""
="Wall quality",="",="",="0.0276",="0.0213",="0.0146",="0.0321",="-0.0104",="0.0275"
="",="",="",="(0.0294)",="(0.0121)",="(0.0338)",="(0.0248)",="(0.0465)",="(0.0172)"
="",="",="",="",="",="",="",="",=""
="Roof quality",="",="",="-0.00556",="0.00164",="0.0376",="0.00471",="0.0816",="-0.00395"
="",="",="",="(0.0232)",="(0.00425)",="(0.0225)",="(0.00448)",="(0.0132)",="(0.00266)"
="",="",="",="",="",="",="",="",=""
="Erosion threat",="",="",="0.0305",="-0.0284",="0.0491",="0.0193",="0.0625",="-0.0262"
="",="",="",="(0.0273)",="(0.00881)",="(0.0430)",="(0.0312)",="(0.0633)",="(0.0178)"
="",="",="",="",="",="",="",="",=""
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="585",="757",="447",="488",="296",="296",="280",="281"
="Clusters",="77",="78",="62",="62",="67",="67",="68",="68"
="Mean",=".376",=".072",=".352",=".065",=".449",=".112",=".413",=".061"
