="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Tax Compliance",="Tax Amount",="Visited",="Visits",="Compliance",="Compliance"
="",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues"
="Central + Chief Info",="0.0293250",="39.03621",="-0.0567658",="-0.0591125",="0.00132616",="0.0336676"
="",="(0.0497)",="(0.250)",="(0.147)",="(0.392)",="(0.964)",="(0.0219)"
="",="[0.104000]",="[0.417000]",="[0.228000]",="[0.476000]",="[0.992000]",="[0.054000]"
="Local",="",="",="",="",="",="0.0513096"
="",="",="",="",="",="",="(0.000155)"
="",="",="",="",="",="",=""
="Time FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="1797",="1797",="1347",="1347",="594",="2984"
="Clusters",="163",="163",="161",="161",="152",="265"
="Mean",=".066",="202.935",=".45",=".61",=".112",=".066"
="CLIvC_p",="",="",="",="",="",=".0219340139344262"
