type,tot_benefitC,tot_costC,tot_el_bribesC,tot_benefitL,tot_costL,tot_el_bribesL,mult_bribes
"Campaign Amounts",2812400,4207300,117997.7,3514500,3197900,228487.5,15.49012
"With Mobile Money Payment",,4207300,,,1086950,,34.59549
