="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p"
="Ease of payment",="0.0448",="0.0560",="0.0287",="0.0442",="",="",="",=""
="",="(0.000570)",="(1.30e-11)",="(0.0405)",="(0.000000690)",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="0.0181",="0.0232",="0.0223",="0.00753"
="",="",="",="",="",="(0.410)",="(0.0345)",="(0.425)",="(0.515)"
="Wall quality",="",="",="0.0249",="0.0213",="0.0121",="0.0155",="0.0241",="0.0124"
="",="",="",="(0.0489)",="(0.00358)",="(0.264)",="(0.0277)",="(0.0269)",="(0.0101)"
="Roof quality",="",="",="0.00507",="-0.0000608",="0.00610",="0.00104",="0.0181",="-0.00963"
="",="",="",="(0.411)",="(0.973)",="(0.450)",="(0.817)",="(0.0251)",="(0.128)"
="Erosion threat",="",="",="0.0172",="-0.00352",="-0.00294",="-0.0109",="-0.00197",="-0.00476"
="",="",="",="(0.117)",="(0.429)",="(0.808)",="(0.138)",="(0.849)",="(0.334)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="5572",="8133",="4551",="5150",="4980",="4994",="4819",="4825"
="Clusters",="79",="80",="66",="66",="82",="82",="77",="77"
="Mean",=".376",=".072",=".352",=".065",=".449",=".112",=".413",=".061"
