="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Willingness",="0.016",="0.063**",="0.018",="0.054**",="",="",="",=""
="",="(0.643)",="(0.003)",="(0.615)",="(0.009)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="0.096",="-0.046",="0.110",="0.022"
="",="",="",="",="",="(0.395)",="(0.537)",="(0.191)",="(0.559)"
="Not very much confidence",="-0.193",="-0.030",="-0.201",="-0.032",="0.020",="-0.132",="0.114",="0.075"
="",="(0.183)",="(0.503)",="(0.169)",="(0.456)",="(0.876)",="(0.108)",="(0.512)",="(0.446)"
="Some confidence",="0.076",="0.018",="0.073",="0.045",="-0.079",="-0.104*",="0.007",="0.037"
="",="(0.359)",="(0.606)",="(0.371)",="(0.223)",="(0.356)",="(0.099)",="(0.944)",="(0.329)"
="A lot of confidence",="-0.023",="0.047",="-0.024",="0.067**",="0.017",="-0.097*",="0.019",="0.004"
="",="(0.771)",="(0.152)",="(0.760)",="(0.041)",="(0.850)",="(0.093)",="(0.847)",="(0.893)"
="Wall quality ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Roof quality ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Erosion threat ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="393",="499",="393",="432",="294",="294",="280",="281"
="Clusters",="50",="50",="50",="50",="66",="66",="68",="68"
="Mean",=".416",=".077",=".416",=".077",=".449",=".095",=".511",=".057"
