="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Revenues",="Revenues",="Revenues",="Revenues",="Revenues"
="Local",="44.846",="92.149",="119.829",="86.269",="119.750*"
="",="(61.880)",="(58.166)",="(81.572)",="(55.974)",="(68.963)"
="Month FE ",="No",="Yes",="Yes",="Yes",="Yes"
="House FE ",="No",="No",="No",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="2530",="2439",="213",="2439",="1878"
="Clusters",="221",="213",="",="213",="212"
="Mean",="275.851",="252.785",="248.118",="252.785",="310.011"
