="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Willingness",="0.009",="0.062",="0.010",="0.052",="",="",="",=""
="",="(0.035)",="(0.019)",="(0.035)",="(0.019)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="0.074",="-0.053",="0.115",="0.024"
="",="",="",="",="",="(0.106)",="(0.071)",="(0.080)",="(0.036)"
="Wall quality",="",="",="0.001",="0.017",="0.017",="0.031",="-0.004",="0.030"
="",="",="",="(0.031)",="(0.013)",="(0.036)",="(0.025)",="(0.048)",="(0.018)"
="Roof quality",="",="",="0.014",="0.005",="0.029",="0.004",="0.067",="-0.003"
="",="",="",="(0.020)",="(0.004)",="(0.015)",="(0.005)",="(0.011)",="(0.002)"
="Erosion threat",="",="",="0.014",="-0.025",="0.035",="0.026",="0.061",="-0.025"
="",="",="",="(0.029)",="(0.008)",="(0.041)",="(0.032)",="(0.061)",="(0.017)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="394",="500",="394",="433",="296",="296",="280",="281"
="Clusters",="50",="50",="50",="50",="67",="67",="68",="68"
="Mean",=".416",=".077",=".416",=".077",=".449",=".095",=".511",=".057"
